"","gene_id","log2foldchange","log2CPM","pvalue","FDR","change","logP"
"PELI2","PELI2",-2.5650289093434,2.82150819483019,7.07991167286587e-06,3.52057279294815e-05,"down",5.14997216042128
"IQCB1","IQCB1",1.0753240941807,4.58664634479492,7.08985360269911e-06,3.52450083303293e-05,"not",5.14936273240457
"KCNIP3","KCNIP3",-2.019380399042,2.25893043347521,7.11564515075119e-06,3.53630348721808e-05,"down",5.14778571782718
"HOXC12","HOXC12",8.80108924266519,4.81281996274721,7.13018963980561e-06,3.54251143780149e-05,"up",5.14689891917676
"RPIA","RPIA",1.41481690097187,5.01276898723665,7.15274828318372e-06,3.55269636230095e-05,"not",5.14552705821404
"FAM71F2","FAM71F2",-1.75628204917148,-0.029839994689379,7.16556595460985e-06,3.55803857688613e-05,"not",5.14474950223004
"NAALADL1","NAALADL1",-1.90932808380939,1.01011759298184,7.19901521034678e-06,3.57361931687381e-05,"not",5.14272690884147
"DBF4B","DBF4B",1.23170624258171,4.11327511335637,7.21126252819029e-06,3.57866939671911e-05,"not",5.14198869352949
"GNS","GNS",-0.888295541766705,7.43524177628093,7.22483594737375e-06,3.5843744759038e-05,"not",5.14117200988065
"EPN3","EPN3",-3.05922022432488,2.96386453072126,7.23158805912331e-06,3.58669307157726e-05,"down",5.14076632102067
"AKT1S1","AKT1S1",1.40497925811517,7.29542904923857,7.26874203826848e-06,3.60408459397479e-05,"not",5.13854074362659
"ANAPC5","ANAPC5",0.737164203060669,6.8688257692188,7.2744308556207e-06,3.60586912995505e-05,"not",5.13820097978982
"FKBP14","FKBP14",1.91825973225337,5.40754367537699,7.36259275461575e-06,3.6485220557408e-05,"not",5.13296922088884
"DNAH14","DNAH14",1.41674070745673,4.05233542760551,7.42371875465272e-06,3.6777567359039e-05,"not",5.12937848959308
"GLB1L","GLB1L",-1.19944363245929,2.61729873521683,7.44606299630495e-06,3.68776742253852e-05,"not",5.12807329381842
"PDIA2","PDIA2",3.79008433770371,0.0849707459150215,7.44903072995883e-06,3.68817862971132e-05,"up",5.12790023409951
"APP","APP",-1.14260471724401,9.58921698618415,7.48262128545993e-06,3.7037472828632e-05,"not",5.12594623497169
"AGPAT3","AGPAT3",-1.2480044766245,5.4891449180887,7.49216752145682e-06,3.70740896423107e-05,"not",5.12539252056123
"PHLDA2","PHLDA2",-2.06143138636438,2.70287911926051,7.53661719748514e-06,3.72833514170316e-05,"down",5.12282354300629
"SPRED2","SPRED2",1.31109354041161,6.82732071799107,7.55741603255112e-06,3.73755269824218e-05,"not",5.12162666939689
"CST6","CST6",-3.67028413634536,-0.194069273256497,7.57516217240612e-06,3.74525568151483e-05,"down",5.1206080651587
"GPER1","GPER1",-2.34544732356439,2.69700793400337,7.58496940200303e-06,3.74903027876145e-05,"down",5.12004616683085
"F3","F3",-2.54230016529515,2.27664185543533,7.58986052051949e-06,3.75037351894513e-05,"down",5.119766205096
"ARL10","ARL10",1.98936948827999,5.54310737976581,7.61499991995863e-06,3.76171839733427e-05,"not",5.11833009689281
"LRIF1","LRIF1",1.19763348577552,5.04066503921559,7.63807422248476e-06,3.77203694072623e-05,"not",5.11701612571408
"KERA","KERA",11.6522122791033,6.89626527326563,7.64443656611135e-06,3.77409879680261e-05,"up",5.11665451878616
"HDGFL2","HDGFL2",0.965916179005167,6.3689798871114,7.6805289401001e-06,3.79083314821016e-05,"not",5.11460887009133
"MS4A15","MS4A15",9.18166402295068,-0.122543900824708,7.78242619483302e-06,3.84002756625233e-05,"up",5.10888498928711
"ADD2","ADD2",6.69510727566067,4.3033167366034,7.8157033696151e-06,3.85534481540047e-05,"up",5.10703193181026
"H1-10","H1-10",-1.10102263027247,7.33240116973787,7.84332801464368e-06,3.86786581573812e-05,"not",5.10549962204577
"PSMG1","PSMG1",2.04009722364473,5.84657280990796,7.84944282487357e-06,3.86977531266267e-05,"up",5.10516116958224
"SLF1","SLF1",2.72178268086192,4.85538521235128,7.88661445833666e-06,3.88699035928589e-05,"up",5.10310938938946
"LZIC","LZIC",1.01786155807253,5.17180314259432,7.89056014017974e-06,3.88782453508856e-05,"not",5.10289216571905
"ELP2","ELP2",0.783689950195861,6.13500105236036,7.92536414201159e-06,3.90385835770511e-05,"not",5.10098077438048
"DAB2IP","DAB2IP",-1.13075503914588,5.78582254407796,7.95366772313248e-06,3.91668197952771e-05,"not",5.09943255630004
"SLC37A3","SLC37A3",0.788104415608477,5.46871940075635,7.98993765570201e-06,3.93342009270009e-05,"not",5.09745660940819
"GLIS3","GLIS3",-3.11763641907969,3.95633164564952,8.00407183242019e-06,3.9392544058303e-05,"down",5.09668902244915
"FLAD1","FLAD1",1.05369988804522,5.49261216112424,8.01648895821951e-06,3.94424057525171e-05,"not",5.09601580128467
