"","gene_id","log2foldchange","log2CPM","pvalue","FDR","change","logP"
"HSD11B2","HSD11B2",-8.31236202799037,6.93518806215326,5.63932414741362e-120,9.73065381636221e-116,"down",119.24877294152
"MFSD4A","MFSD4A",-6.31629438704882,3.78590141356305,2.26831300815829e-119,1.95698704778856e-115,"down",118.64429701665
"PROM2","PROM2",-6.71569972275242,3.67132025765303,1.07225793561531e-115,6.16727022634738e-112,"down",114.969700730931
"SLC4A9","SLC4A9",-7.80482037111697,1.37293813536011,1.23652882971477e-104,5.33407623918207e-101,"down",103.907795753593
"PBLD","PBLD",-4.02780447589633,3.39782580284123,1.88348211583333e-103,6.49989678174082e-100,"down",102.725038499183
"SLC6A12","SLC6A12",-7.55031978927261,3.76092133475176,5.11004374106785e-103,1.46956341253543e-99,"down",102.291575382366
"MECOM","MECOM",-4.95604476981049,4.44260048944697,1.38364400457417e-97,3.41068247127533e-94,"down",96.8589756343999
"SMIM5","SMIM5",-6.99208612316952,1.96888127059592,3.84528563339879e-92,8.29380045053702e-89,"down",91.4150713946398
"SGK2","SGK2",-6.36407251653082,2.24838351394285,3.68646579290987e-87,7.06777413962887e-84,"down",86.4333897916048
"KCNQ1","KCNQ1",-4.54265403590124,3.50021923799622,4.93292239137529e-86,8.51175758631806e-83,"down",85.3068957171473
"ELMO3","ELMO3",-4.4235012690067,2.24817930521732,1.86208303876211e-85,2.92093116671275e-82,"down",84.7300009557542
"PDZK1","PDZK1",-6.99621091910677,2.91502600125358,3.15883359955172e-83,4.54213948002208e-80,"down",82.5004732511762
"GPX3","GPX3",-6.74951158043635,7.63758937035631,2.87181274847716e-82,3.81177915192103e-79,"down",81.541843880918
"ADGRG1","ADGRG1",-5.70118168769844,6.38202452794283,2.82005321696567e-81,3.47571558991018e-78,"down",80.549742696072
"EGF","EGF",-11.543119674188,4.25388069161667,8.9815366980295e-81,1.03317610482999e-77,"down",80.0466493512638
"SLC6A13","SLC6A13",-8.23008381841922,1.66815314931493,2.2227592841438e-79,2.39710696549382e-76,"down",78.6531075670934
"TMEM72","TMEM72",-10.6986903008445,3.49254171817618,1.38292316903012e-77,1.40366701656558e-74,"down",76.8592019472899
"CAPS","CAPS",-4.24628913799741,3.09513575306137,1.96124684180684e-77,1.88007301418762e-74,"down",76.7074677427483
"AIF1L","AIF1L",-6.6697724221654,6.41143662403537,2.40208239358876e-76,2.181470089546e-73,"down",75.6194120999859
"TFCP2L1","TFCP2L1",-7.65569293827538,4.71578856459366,2.00330245712907e-73,1.7283491948881e-70,"down",72.6982534762952
"UMOD","UMOD",-16.9081646729984,9.10179567258349,5.45293522588092e-72,4.48049511059883e-69,"down",71.2633696611633
"ATP1A1","ATP1A1",-4.55956623231928,8.13909292866251,6.38706593346988e-71,5.00949194009195e-68,"down",70.1946986006113
"TMEM45B","TMEM45B",-5.15983529340913,1.89394973918232,1.00449095164207e-70,7.53586581329736e-68,"down",69.9980539709811
"ATP6V1C2","ATP6V1C2",-3.8670593382868,2.006794613416,5.62076659622247e-70,4.04109698407578e-67,"down",69.2502044485226
"BCAM","BCAM",-5.06633834846214,7.28424515602871,1.63511832373917e-68,1.12855866704477e-65,"down",67.7864508145709
"SPNS2","SPNS2",-5.33728569412819,3.821793996346,2.56271125688311e-68,1.70075318221223e-65,"down",67.591300323432
"RAP1GAP","RAP1GAP",-4.78222627920471,4.92449101622114,2.72828248063028e-66,1.74357460012131e-63,"down",65.5641106657502
"VAV3","VAV3",-5.53827499727508,3.86386832466068,1.27387916368521e-65,7.85028034621009e-63,"down",64.8948717659046
"SLC47A2","SLC47A2",-6.95745344386417,1.5528216434883,4.82582802627467e-65,2.87136767563343e-62,"down",64.3164281587162
"IQUB","IQUB",-4.95089899226688,-0.562399235266971,5.19703655758331e-65,2.98916219337e-62,"down",64.284244228203
"PAQR5","PAQR5",-5.51782261300818,3.02207436943034,3.08521473977802e-63,1.7172703333829e-60,"down",62.5107146024395
"NAPSA","NAPSA",-5.34901976160092,2.45061697638036,6.44292104313321e-63,3.47414383122698e-60,"down",62.1909171908237
"MUC20","MUC20",-6.22836671547162,3.10478623962029,1.11011490723568e-62,5.80455537101565e-60,"down",61.9546320653615
"PRR35","PRR35",-8.98746367047798,2.26393807789499,2.98044406638944e-62,1.51257536369264e-59,"down",61.5257190241067
"AQP2","AQP2",-14.4785448386244,7.12447465911652,7.7539943651796e-62,3.82271922203354e-59,"down",61.1104745189301
"TMEM139","TMEM139",-6.03487836816832,1.73332346033626,1.21352121611732e-60,5.81647460669566e-58,"down",59.9159526264502
"OVOL1","OVOL1",-6.59566356628724,-0.312244234674123,1.47904974061474e-60,6.8975684525155e-58,"down",59.8300172203836
"PLA2G4F","PLA2G4F",-9.51709698841648,1.78198118393597,7.43712852459948e-60,3.37704349189379e-57,"down",59.1285947131956
"MAP7","MAP7",-5.22661278046855,2.32258715082189,4.34202929525391e-58,1.92106962793862e-55,"down",57.3623072507286
"CLCNKB","CLCNKB",-9.51077190398844,4.66052568608526,1.49784536456062e-57,6.4613304413734e-55,"down",56.8245330202711
"POU5F1","POU5F1",-4.24463328837664,-0.406573175690569,2.91842503011332e-57,1.22822985108793e-54,"down",56.5348514585732
"CLTRN","CLTRN",-6.04418212019538,2.47353736733037,3.46475539994726e-57,1.423437010145e-54,"down",56.4603274196966
"NAT8","NAT8",-10.0149568011923,3.21888323606842,5.49934873987665e-57,2.20677354666446e-54,"down",56.2596887387648
"AQP3","AQP3",-6.51188205227274,4.67270648795875,9.81119207044653e-57,3.84754816308079e-54,"down",56.0082782221649
"TINAGL1","TINAGL1",-4.53877863768222,4.77431371808044,1.19098602730842e-56,4.56676975582375e-54,"down",55.9240933336461
"ATP6V1B1","ATP6V1B1",-5.67847541560159,4.46446959172984,1.63084936010819e-56,6.11745776275367e-54,"down",55.7875861524454
"MTMR10","MTMR10",-2.44437316118951,4.75183872006631,4.13540738414302e-55,1.5182224343274e-52,"down",54.3834817011125
"CYP17A1","CYP17A1",-5.0518357618263,-1.68062088578999,5.31028165344695e-54,1.9089356235464e-51,"down",53.2748824436466
"TNS1","TNS1",-3.59249007050997,6.03976547256414,7.79812546253361e-54,2.74605418073505e-51,"down",53.1080097818118
"ATP6V0D2","ATP6V0D2",-7.18466983649584,3.57555567914796,4.69062875365194e-53,1.61873598288529e-50,"down",52.3287689385345
"TTK","TTK",4.51116227315869,4.79123837894161,7.79475660705882e-53,2.63722598538823e-50,"up",52.1081974412014
"BUB1B","BUB1B",4.38042994645567,5.46301196355412,3.6328050684438e-52,1.20546252799996e-49,"up",51.4397579051845
"SLC12A1","SLC12A1",-10.2365188865711,7.03352430624816,4.74963966717598e-51,1.5463213671155e-48,"down",50.3233393370053
"AQP7","AQP7",-6.83143788601024,1.13204150620049,5.05959493552803e-51,1.61672797430623e-48,"down",50.2958842508097
"CLCNKA","CLCNKA",-9.39870219761199,4.32030249853342,5.99439693557304e-51,1.88060580224205e-48,"down",50.2222545024279
"FXYD4","FXYD4",-10.7544819996889,5.61774209748224,2.24964280509199e-50,6.93171189318969e-48,"down",49.6478864330408
"UNC5CL","UNC5CL",-5.78014475821582,1.87610117181582,3.63620394552031e-50,1.09608691164005e-47,"down",49.4393517662834
"CNKSR1","CNKSR1",-4.65357690730904,1.77030358524465,3.68432575341194e-50,1.09608691164005e-47,"down",49.4336419781889
"ZNF44","ZNF44",-3.0266946756646,3.93208927883516,1.16469783732408e-49,3.36112219507347e-47,"down",48.9337867309502
"EVPL","EVPL",-6.63049971180761,2.62744424139569,1.16874721358683e-49,3.36112219507347e-47,"down",48.9322794115208
"TRIP13","TRIP13",4.5370482763357,5.25300741816477,1.35715270764482e-49,3.83896229023138e-47,"up",48.8673712825126
"GGT6","GGT6",-8.61403375549791,2.53226263892441,1.8601680234561e-49,5.17696762011855e-47,"down",48.7304478254788
"SMIM6","SMIM6",-6.95872646402773,0.18143832008154,3.12923476773122e-49,8.57062633606385e-47,"down",48.5045618531192
"KRTAP5-8","KRTAP5-8",-7.85100707210527,-0.348724043472853,3.4876585448456e-49,9.40305440489231e-47,"down",48.4574660407545
"SLC3A1","SLC3A1",-7.24661023909731,3.50374513166442,4.07137157072285e-49,1.08079256081266e-46,"down",48.3902592602463
"FBLN5","FBLN5",-4.76637875669598,5.22370609463516,4.93520066893485e-49,1.29025587185562e-46,"down",48.3066951838982
"RGN","RGN",-5.90686717527146,0.530818886670656,5.53534547776326e-49,1.42555800326575e-46,"down",48.2568552682986
"SULT1C2","SULT1C2",-6.83144144089792,2.77563164769998,6.13191446548452e-49,1.5559732956167e-46,"down",48.2124039117803
"GCNT3","GCNT3",-6.30025205790725,1.29795325376586,7.24408783991474e-49,1.81154689388013e-46,"down",48.1400162921847
"SLC4A1","SLC4A1",-7.79564943127796,2.50606885257659,7.99784186456158e-49,1.97146801961443e-46,"down",48.0970271871026
"ACE2","ACE2",-6.93855904532524,0.107711897874839,1.17077541384854e-48,2.84531405154317e-46,"down",47.9315264062776
"CKMT2","CKMT2",-4.37775010513576,0.883643187437414,2.14164087637328e-48,5.13250185025292e-46,"down",47.6692533525916
"PTGS1","PTGS1",-4.81986609943995,3.23016087259689,2.17784195563948e-48,5.14776204719988e-46,"down",47.6619736398622
"RAPGEF3","RAPGEF3",-5.18056446731464,3.59488705018938,3.98871477025455e-48,9.30071261631652e-46,"down",47.3991670186246
"SLC13A2","SLC13A2",-8.55594246249785,-0.552868059159005,4.1530226147177e-48,9.55472069559385e-46,"down",47.3816357039924
"ST14","ST14",-4.66154350693028,4.14082152252889,4.68071855523979e-48,1.06270787724556e-45,"down",47.3296874715795
"NOSTRIN","NOSTRIN",-3.35892329203146,2.54732920850447,5.27672520451997e-48,1.18246614810379e-45,"down",47.2776355219434
"AQP1","AQP1",-5.18046512092697,5.95680777712437,7.31163523443876e-48,1.61746494833642e-45,"down",47.1359854829774
"DEGS2","DEGS2",-5.26929698793814,2.36678315567737,1.00528827227871e-47,2.19572773900875e-45,"down",46.9977093839072
"ENAM","ENAM",-7.28748148978412,1.07384349888451,4.47334436629408e-47,9.64844463005055e-45,"down",46.3493676677508
"SLC22A11","SLC22A11",-7.18207623165611,0.490524786248136,9.37247201457682e-47,1.99656795816695e-44,"down",46.0281458476717
"MGLL","MGLL",-3.31632982479228,4.7481727310994,1.03461099492195e-46,2.17525377693527e-44,"down",45.9852229106084
"BHMT2","BHMT2",-7.6075928741214,2.66145303726814,1.04634055917489e-46,2.17525377693527e-44,"down",45.9803269398489
"RASD1","RASD1",-5.78112870812958,5.2972877846154,2.79155339770855e-46,5.73431593779298e-44,"down",45.5541540604131
"HAO2","HAO2",-7.18264318172411,-0.291276353272034,3.45907598944797e-46,7.02192425857939e-44,"down",45.4610398972411
"C1orf210","C1orf210",-7.52602611002248,1.33033632661339,5.4838310135889e-46,1.1002733039474e-43,"down",45.2609159366317
"AMN","AMN",-5.82665532517216,2.03363039185209,7.11250023205157e-46,1.4106458793569e-43,"down",45.1479777064276
"TPX2","TPX2",4.7831757321501,7.1255389416245,1.27548483910948e-45,2.5009648748675e-43,"up",44.8943246992104
"MUC1","MUC1",-4.98107011218257,5.89477560894458,2.29044451964753e-45,4.44063148163125e-43,"down",44.64008022347
"NECTIN4","NECTIN4",-5.41956002009856,0.121629638026446,2.9372351168905e-45,5.63133243799395e-43,"down",44.5320612881108
"TSPAN33","TSPAN33",-3.56340608364705,4.62819439372809,4.4125064253146e-45,8.36679102953884e-43,"down",44.3553146492015
"ELF5","ELF5",-10.853423438487,2.51161536316624,7.70264048789543e-45,1.44466371324604e-42,"down",44.1133603718736
"WNT9B","WNT9B",-8.26193888581559,1.77591050140784,8.11027156398107e-45,1.5047606003924e-42,"down",44.0909646036478
"TMEM238L","TMEM238L",-8.64708004567447,0.494927593585833,8.40519415380428e-45,1.54288962897758e-42,"down",44.0754522502255
"KIF12","KIF12",-6.92794852063194,4.02119292359817,1.46059347810871e-44,2.65289899629114e-42,"down",43.8354706429166
"CD46","CD46",-2.62135411027226,5.90725682450518,1.65420966885506e-44,2.9732695662598e-42,"down",43.781409445052
"CD2AP","CD2AP",-2.36840192747209,5.03266350574631,1.75536897409394e-44,3.12256614927742e-42,"down",43.755631582007
"MFSD6L","MFSD6L",-6.34637548537358,-0.967696760020321,1.88245360818832e-44,3.31446296013158e-42,"down",43.7252757178928
"ACMSD","ACMSD",-5.72126520391371,0.198965666679981,2.77695580568283e-44,4.84003761889466e-42,"down",43.5564310318453
"COL4A3","COL4A3",-6.55333225188814,3.39332254002729,3.26671625040413e-44,5.63671889007232e-42,"down",43.4858885870537
"DMGDH","DMGDH",-4.39799228328173,1.7290162570038,3.73356563840388e-44,6.37848268224345e-42,"down",43.4278762091018
"PAX8","PAX8",-6.83839299319022,6.12830475847268,4.70705916959284e-44,7.96277509522789e-42,"down",43.3272503424059
"SLC13A1","SLC13A1",-11.6114564320728,1.87826262111842,8.94249537512071e-44,1.49808502619134e-41,"down",43.0485412757873
"ACSL1","ACSL1",-3.3462008477721,5.35649437770081,9.48572759945789e-44,1.57380990123698e-41,"down",43.0229293510895
"ARHGAP11A","ARHGAP11A",3.93666846324314,5.4022386771802,9.61830834721939e-44,1.58060867172639e-41,"up",43.0169013042689
"LMBRD1","LMBRD1",-2.26906207647329,5.1372708083254,1.06028895380728e-43,1.72597036773062e-41,"down",42.974575763091
"GCGR","GCGR",-7.75901996382547,1.36396738519502,1.27647302380843e-43,2.05846187157145e-41,"down",42.8939883588738
"SLC44A4","SLC44A4",-6.05447571881337,2.8170509861026,1.34175654092165e-43,2.14370454755584e-41,"down",42.872326278896
"HJURP","HJURP",4.33945739410493,4.58077948546259,1.46607354291679e-43,2.32083476908525e-41,"up",42.8338442435545
"MIOX","MIOX",-7.82553770052114,1.13370062201799,2.58916569391017e-43,4.06145945894727e-41,"down",42.5868401559582
"SMIM22","SMIM22",-6.26559087887443,0.874412891949377,3.17140733314559e-43,4.92996698499344e-41,"down",42.4987479739375
"RHCG","RHCG",-6.08381399639524,3.50464796672712,3.31923869675225e-43,5.11370211718393e-41,"down",42.4789615150048
"KIF11","KIF11",4.04877259991626,6.53993677654341,4.24375698228694e-43,6.48017935658062e-41,"up",42.3722494938267
"CYB5A","CYB5A",-3.42958364136238,4.99398489318784,7.64274655804584e-43,1.15680343736036e-40,"down",42.116750541863
"CCNI2","CCNI2",-4.93692140513904,-0.300542052624148,7.78234619423639e-43,1.16769029201347e-40,"down",42.1088894537042
"NCAPG","NCAPG",4.7327538161888,5.56228955345477,9.61478699799341e-43,1.43019956595152e-40,"up",42.0170603324989
"HNF1A","HNF1A",-5.45988683089039,-0.355514652023334,9.91558849347127e-43,1.46233743123801e-40,"down",42.003681505172
"KIF18A","KIF18A",4.08720195751016,4.39391190213183,1.14168994879004e-42,1.6694796666417e-40,"up",41.9424518223704
"EMCN","EMCN",-3.81918755232337,4.17352564288178,1.34978687712785e-42,1.95719097183538e-40,"down",41.8697347984636
"CRB3","CRB3",-6.01784734393922,1.03253013065408,3.65405778361899e-42,5.25423058802881e-40,"down",41.4372245891924
"ITGA2","ITGA2",-4.5416224577292,3.44102109984953,5.7524102017754e-42,8.20312711005245e-40,"down",41.2401501521774
"FAAH2","FAAH2",-4.52390821885626,0.563546707413453,6.12052996605129e-42,8.65653643968976e-40,"down",41.213210971422
"SDC4","SDC4",-4.82142477800857,5.54627964613192,7.58101472807442e-42,1.06349926124329e-39,"down",41.1202726596307
"MELK","MELK",4.75077531788763,5.30148080683947,8.68008762292958e-42,1.20786219301331e-39,"up",41.0614758907264
"KIF13B","KIF13B",-4.04009047945217,3.77280575202638,1.08345704724804e-41,1.4956041080212e-39,"down",40.9651883012458
"EFHD1","EFHD1",-5.13771861629812,5.65679292060714,1.100008328652e-41,1.50640029451509e-39,"down",40.9586040265928
"TMEM47","TMEM47",-3.79979191320372,3.3257715475172,1.33497497630884e-41,1.81377899340228e-39,"down",40.8745268749382
"BUB1","BUB1",4.51145110528846,5.49102694880707,1.68740585572798e-41,2.2747021906708e-39,"up",40.7727804481138
"ADGRF3","ADGRF3",-4.64679257119808,0.335857443309995,1.75811347698914e-41,2.35164713530601e-39,"down",40.7549530969302
"SEMA3G","SEMA3G",-4.37961591390313,2.50810515608692,2.00707439853546e-41,2.66400528820995e-39,"down",40.697436528721
"ALDH1L1","ALDH1L1",-5.82561693496144,1.83866688911131,2.84276404043898e-41,3.74441935250187e-39,"down",40.5462591868056
"FOLR3","FOLR3",-6.88850195452967,-0.474898187604547,3.66384710789655e-41,4.78936983687538e-39,"down",40.4360626577068
"VASN","VASN",-3.98813618684951,4.47231555807315,3.75662010313461e-41,4.87372029169833e-39,"down",40.4252027217464
"CADPS2","CADPS2",-5.25475177915946,3.27766421112511,4.29809032195555e-41,5.53459317204052e-39,"down",40.3667244622939
"PLXNB1","PLXNB1",-4.08849537373088,4.97938722087836,4.60606351804086e-41,5.88723155583667e-39,"down",40.3366700773695
"LCN12","LCN12",-5.19008016866401,1.49316960641145,5.44742281767814e-41,6.91141769992914e-39,"down",40.2638089143803
"DTL","DTL",3.92339029728437,5.41607589941813,5.76045983714506e-41,7.25523609415606e-39,"up",40.2395428469998
"MAL","MAL",-7.85875668658244,5.99400775486935,7.01465694391026e-41,8.7708627222588e-39,"down",40.1539935635536
"LEPROT","LEPROT",-2.22186795795902,6.08741445993209,7.48646472870653e-41,9.29344956070727e-39,"down",40.1257232171831
"SLC9A3","SLC9A3",-6.72527775948542,2.01814759339233,7.63791655797344e-41,9.41373215770227e-39,"down",40.1170250904782
"CELSR2","CELSR2",-4.34229043545193,4.681057966351,9.1256813414005e-41,1.11676334429692e-38,"down",40.0397347003768
"CKAP2L","CKAP2L",4.64401641099516,4.26724372016781,1.02130851513131e-40,1.24103369215428e-38,"up",39.990843047159
"ATP6V1G3","ATP6V1G3",-10.888076537448,0.711984087454399,1.93944983183487e-40,2.34022425512662e-38,"down",39.7123214499072
"TMPRSS2","TMPRSS2",-8.31535765344849,3.38549999404685,2.2005621547089e-40,2.6368541652432e-38,"down",39.6574663603135
"NEDD9","NEDD9",-4.0068570781804,4.10298597959293,5.83599387659156e-40,6.94483271314396e-38,"down",39.2338851724612
"ARHGEF10L","ARHGEF10L",-3.43941663899108,4.09997329031074,7.10493609538192e-40,8.39696385793253e-38,"down",39.1484398239361
"FXYD2","FXYD2",-7.14846217498642,5.96760476764543,1.05741994435031e-39,1.24120960134453e-37,"down",38.9757525024806
"TUBB","TUBB",2.42943450550594,10.8662798978323,1.40273104715047e-39,1.6354137985528e-37,"up",38.853025590508
"IGFBP7","IGFBP7",-3.51996512873304,8.69208769381605,1.67700173232085e-39,1.94205804638901e-37,"down",38.7754664887732
"DUSP9","DUSP9",-5.55784701651849,4.03149008602644,1.94635894412381e-39,2.23896157205709e-37,"down",38.7107770648502
"KIF14","KIF14",4.66707343354351,4.34334015265782,5.72398722234718e-39,6.54088738553646e-37,"up",38.2423013443865
"KIF20A","KIF20A",4.52591095770257,6.09453783842637,9.65487605266916e-39,1.09601898874215e-36,"up",38.0152532972328
"ALS2CL","ALS2CL",-4.40345082092635,1.52989712843088,1.70994213024071e-38,1.92843473577146e-36,"down",37.767018587235
"KIF4A","KIF4A",4.45579011862521,4.82166636936399,2.23520757686535e-38,2.50444848953322e-36,"up",37.650682139064
"ACVR1B","ACVR1B",-2.30804694474227,5.11624244752617,2.36761968397995e-38,2.63569533206929e-36,"down",37.6256880580361
"TMC4","TMC4",-4.02047407148012,3.52999252534917,4.08409820982249e-38,4.51737914169789e-36,"down",37.388903823032
"AGRN","AGRN",-3.15120815412633,7.28639315999918,4.48089705828244e-38,4.92470565227156e-36,"down",37.3486350332201
"AOC1","AOC1",-8.46290378764367,4.76201157108255,4.93391103185987e-38,5.38826802878115e-36,"down",37.3068086859611
"C11orf54","C11orf54",-2.16562759915251,4.88199746246476,9.63516621422768e-38,1.04562762909748e-35,"down",37.0161407890211
"OGDHL","OGDHL",-5.20733319054419,4.44339549561873,1.01146293549836e-37,1.09079955950151e-35,"down",36.9950500270835
"SYNDIG1","SYNDIG1",-6.09403876484832,0.526123907812547,1.28488179983747e-37,1.37705810286929e-35,"down",36.8911368225579
"PODXL","PODXL",-3.95625090691387,5.99809875973633,1.37966962073062e-37,1.46770919350605e-35,"down",36.8602248984332
"PRRG2","PRRG2",-3.83170358742453,1.05592752822993,1.38647695474637e-37,1.46770919350605e-35,"down",36.858087344629
"SH3TC1","SH3TC1",-3.73863354740218,3.1815493992856,1.44274730637586e-37,1.51796370558021e-35,"down",36.8408097278508
"CA12","CA12",-5.32292908011236,6.40882070963204,2.55690444184248e-37,2.67390219054497e-35,"down",36.5922855023827
"TMEM213","TMEM213",-9.57781729077729,4.03938876353389,3.09323785862236e-37,3.21529031629692e-35,"down",36.5095866830633
"SLC22A2","SLC22A2",-8.35003651283945,1.93556163497196,3.17089650513738e-37,3.27627659857158e-35,"down",36.4988179326753
"BICDL1","BICDL1",-5.41783961014636,4.26223803784049,3.74330318551174e-37,3.84468431345268e-35,"down",36.4267449961658
"FAM3B","FAM3B",-6.71549792919088,1.37992948539487,4.10749941633488e-37,4.19378120880819e-35,"down",36.386422489605
"KIF2C","KIF2C",4.03379983538182,5.47267119313024,4.36359535066481e-37,4.42904928092479e-35,"up",36.3601555296514
"GTSE1","GTSE1",4.24083410597966,4.55588176333594,4.86085994702034e-37,4.9049203734407e-35,"up",36.313286891806
"HYAL1","HYAL1",-4.20014432675705,2.43490223451335,5.55897335018615e-37,5.57674913706175e-35,"down",36.2550054079717
"CAT","CAT",-2.18038035941356,6.17501107540122,7.89769622315976e-37,7.8771530826949e-35,"down",36.1024995749731
"MCM10","MCM10",4.62731106327946,4.14121924634636,8.22887241631003e-37,8.16029847950744e-35,"up",36.0846596710969
"CDCA8","CDCA8",3.98364243949376,5.01564132055428,1.58538626252668e-36,1.5631908548513e-34,"up",35.7998649093158
"SOX13","SOX13",-3.56373476755628,4.04780708710408,1.90102011920071e-36,1.8637558043641e-34,"down",35.7210132868107
"C21orf62","C21orf62",-5.42739769502982,0.601847568921261,2.4254145126415e-36,2.36443657715418e-34,"down",35.6152140281261
"SLC12A3","SLC12A3",-7.99830114878905,3.58728048390425,2.46940196614891e-36,2.39379387224154e-34,"down",35.6074082104037
"SLC22A8","SLC22A8",-8.80171179310874,0.997311812480397,2.82200390863113e-36,2.72031717561062e-34,"down",35.5494423890594
"CA2","CA2",-4.82754501082336,4.36589609707242,2.95119916241807e-36,2.82905230819577e-34,"down",35.5300014810387
"CEL","CEL",-3.73544729850156,0.823472428378672,3.09938784623526e-36,2.95469266777842e-34,"down",35.5087240743124
"CENPE","CENPE",4.54665950725279,5.57224105122078,5.67763296593294e-36,5.38283279270181e-34,"up",35.245832686136
"CISH","CISH",-3.25779136971115,3.80788371794285,6.3624381475905e-36,5.99911859216798e-34,"down",35.1963764266262
"ILDR1","ILDR1",-7.16405251575888,1.55442162573868,6.5402525476652e-36,6.13326400597625e-34,"down",35.1844054813485
"SLC45A3","SLC45A3",-3.58521192559301,1.23460518654125,6.59743632083841e-36,6.15344668735496e-34,"down",35.1806247929445
"ROBO4","ROBO4",-3.04523811795233,3.91086818074734,8.39313967779921e-36,7.78621640539921e-34,"down",35.076075549341
"CENPF","CENPF",4.45614719580627,6.95162908001427,1.07117769932585e-35,9.88404877105213e-34,"up",34.9701384774081
"CNDP2","CNDP2",-2.26268708055248,6.37542129251543,1.2971274502212e-35,1.19052841242377e-33,"down",34.8870173498925
"XRCC2","XRCC2",4.0719391681352,3.88309364219374,1.30792265827429e-35,1.19408494542449e-33,"up",34.8834179364994
"SLC36A2","SLC36A2",-7.91286309207171,-0.0201511284462568,1.52619581138786e-35,1.38602677502618e-33,"down",34.816389742692
"SLC30A2","SLC30A2",-5.72196682517975,0.712171216876151,1.74254234598117e-35,1.5742182293144e-33,"down",34.758816659197
"RGL3","RGL3",-5.51377984648228,3.06177968290812,2.31364270497736e-35,2.07926587887418e-33,"down",34.635703708149
"GP2","GP2",-9.33932953184031,0.782509463385354,3.11521280360935e-35,2.78512937441862e-33,"down",34.5065122808582
"BLNK","BLNK",-4.60838097045511,2.98191984552094,3.49937276196853e-35,3.11245757771995e-33,"down",34.4560097929148
"BIRC5","BIRC5",4.64608897386698,6.1267726646264,7.23742198895257e-35,6.40419058560905e-33,"up",34.140416104432
"DLGAP5","DLGAP5",5.13863419795835,5.63758952227548,7.281757103192e-35,6.41054687834582e-33,"up",34.1377638118759
"NDRG1","NDRG1",-3.98014139266948,6.0129385088715,7.58165988392396e-35,6.64068737548771e-33,"down",34.1202357020842
"SMIM10L2B","SMIM10L2B",-3.68478035356012,0.658036111068661,7.6203867248021e-35,6.64089762305355e-33,"down",34.1180229882161
"NCAPH","NCAPH",4.64344707765631,4.4478326141366,8.00128355145789e-35,6.93779636584954e-33,"up",34.0968403386829
"EPHX3","EPHX3",-4.01699911332238,0.840938905264499,8.18299088564005e-35,7.05987538658595e-33,"down",34.0870879325485
"MYBL2","MYBL2",4.80367025045646,5.95975774102306,1.19510412218679e-34,1.02594634966831e-32,"up",33.9225942556186
"KIF18B","KIF18B",4.41505721489456,4.90525632663185,1.27611172321641e-34,1.09006474178709e-32,"up",33.8941113015927
"PRKAB1","PRKAB1",-2.13232835342244,5.34426476172355,1.39025593286155e-34,1.18171754293232e-32,"down",33.8569052429128
"SKA3","SKA3",4.37814779835193,4.6424005018694,1.42955222614076e-34,1.20916292461073e-32,"up",33.8447999738419
"ORC6","ORC6",3.98528907333067,4.51285637194109,2.2255826508558e-34,1.87328920197643e-32,"up",33.6525562728063
"NEK2","NEK2",4.69953043749423,4.81269394028835,2.93422885371955e-34,2.4577727607248e-32,"up",33.5325060165897
"SLC5A10","SLC5A10",-5.25878038779652,-1.03868924114226,3.46265277874401e-34,2.88638037184676e-32,"down",33.4605910556165
"FAM167B","FAM167B",-3.13473423961146,3.04760391080148,5.58904306870621e-34,4.63648741108296e-32,"down",33.2526625437336
"RPH3AL","RPH3AL",-3.50002431140506,2.44911884328712,6.10046381364622e-34,5.03653124901749e-32,"down",33.2146371446532
"TNFSF13","TNFSF13",-3.41593374643119,1.25617454930401,7.06697920226499e-34,5.80670124452773e-32,"down",33.1507661867884
"NUSAP1","NUSAP1",3.92400784100024,6.60592928112287,8.29171919848653e-34,6.78074003648745e-32,"up",33.0813554138397
"SOWAHA","SOWAHA",-5.9327335665908,1.15031716982016,8.4078602480585e-34,6.84328436699289e-32,"down",33.0753145155813
"TRPM5","TRPM5",-4.67666082773041,-1.37294192810968,9.45526290485288e-34,7.65965077104396e-32,"down",33.0243263910348
"CCNP","CCNP",-5.70553836781611,0.573284847094482,1.00415198330319e-33,8.09656190275542e-32,"down",32.9982005496267
"SHB","SHB",-2.97428853497577,2.54849036126699,1.04422455908765e-33,8.38050919398019e-32,"down",32.9812060968456
"GABRE","GABRE",-4.30526111690104,0.415219000967539,1.05139653770148e-33,8.39900336020322e-32,"down",32.9782334574675
"AQP6","AQP6",-7.03070108567628,3.61003339847461,2.68744735890204e-33,2.13695410957856e-31,"down",32.570660033853
"CLDN4","CLDN4",-5.16911028823849,4.55966477650167,2.82928256122109e-33,2.23941608228761e-31,"down",32.5483236772687
"TOP2A","TOP2A",4.91651558626391,8.18430121959304,3.18099675394181e-33,2.50630588992082e-31,"up",32.4974367740696
"SLC5A2","SLC5A2",-4.94233159450684,0.687879886050316,3.6364911980334e-33,2.85216616463938e-31,"down",32.4393174592819
"CFI","CFI",-4.23505357622351,4.16261909858676,5.15806185662384e-33,4.02725598805631e-31,"down",32.2875134540109
"CDCA2","CDCA2",4.34232371291749,4.09007456340656,5.65830319253472e-33,4.39792890032372e-31,"up",32.2473137851723
